pipeline,k,n,correctly_answered,wrongly_refused,correctly_refused,wrongly_answered,answerability_acc,answerability_acc_lo,answerability_acc_hi,long_context_n,long_context_f1,long_context_answerability,noise_n,noise_robust_f1,noise_robust_answerability,noise_f1_delta
bm25,1,200,63,63,63,11,0.63,0.5612262992405018,0.6938739159014088,94,0.10590971155986141,0.5638297872340425,104,0.10990884668241321,0.4326923076923077,0.0018143740501997407
bm25,3,200,76,50,64,10,0.7,0.6332093162728074,0.7592525531762859,94,0.137204368313692,0.6808510638297872,64,0.1155654958497923,0.453125,0.025462197422027197
bm25,5,200,80,46,67,7,0.735,0.6698242380737758,0.7913184585289088,94,0.1418806823995295,0.723404255319149,52,0.11354722987142997,0.46153846153846156,0.032683770583656
bm25,10,200,82,44,64,10,0.73,0.6645656480133157,0.7867655018531416,94,0.14786756122655287,0.723404255319149,119,0.14256882682990193,0.6554621848739496,-0.0032859869264380837
dense,1,200,77,49,59,15,0.68,0.6124810156588646,0.7407346668453195,94,0.13245208055044105,0.6170212765957447,92,0.125356531969031,0.5434782608695652,0.029304457645964094
dense,3,200,81,45,62,12,0.715,0.6488465397039482,0.7730499699538271,94,0.14027412733299366,0.7127659574468085,62,0.1374271137856866,0.5645161290322581,-0.0074912633685208785
dense,5,200,78,48,64,10,0.71,0.6436252189922268,0.7684597439293211,94,0.14055637450951522,0.7021276595744681,42,0.14092450579390872,0.5952380952380952,-0.008373999653109837
dense,10,200,80,46,65,9,0.725,0.6593166064233035,0.7822029967069265,94,0.13513586893150067,0.723404255319149,119,0.1354287887366341,0.6554621848739496,-0.0033923144260827043
sentwin,1,200,76,50,58,16,0.67,0.602166847737769,0.7314257412939605,94,0.13243466873043383,0.6170212765957447,90,0.1251646834335512,0.5,0.016446080310305478
sentwin,3,200,74,52,62,12,0.68,0.6124810156588646,0.7407346668453195,94,0.1302649005429932,0.6808510638297872,60,0.12723438457004949,0.5166666666666667,-0.004088055218170988
sentwin,5,200,76,50,63,11,0.695,0.6280144790202163,0.7546358436926496,94,0.12438805653696794,0.6914893617021277,50,0.1223245622889822,0.48,-0.001763487099733771
sentwin,10,200,79,47,62,12,0.705,0.6384128547538122,0.7638605614315084,94,0.13894989643298652,0.723404255319149,86,0.13999475689932125,0.5930232558139535,-0.023921968709759975
hybrid,1,200,72,54,60,14,0.66,0.5918849552683626,0.7220845402909121,94,0.13039573788812872,0.6276595744680851,99,0.11958133475754862,0.48484848484848486,0.004623421040419448
hybrid,3,200,79,47,63,11,0.71,0.6436252189922268,0.7684597439293211,94,0.14121217595951716,0.7021276595744681,61,0.12531244923366475,0.5245901639344263,0.01435338606386205
hybrid,5,200,80,46,64,10,0.72,0.6540769541334929,0.7776311022605097,94,0.142375025560501,0.7127659574468085,38,0.1429877946541553,0.5789473684210527,-0.00973047656386658
hybrid,10,200,81,45,64,10,0.725,0.6593166064233035,0.7822029967069265,94,0.14339879769729302,0.7340425531914894,119,0.1404205589472297,0.6554621848739496,-0.004651278993513475
pc,1,200,77,49,59,15,0.68,0.6124810156588646,0.7407346668453195,94,0.13245208055044105,0.6170212765957447,92,0.125356531969031,0.5434782608695652,0.029304457645964094
pc,3,200,81,45,62,12,0.715,0.6488465397039482,0.7730499699538271,94,0.13901954868456062,0.7127659574468085,63,0.13773831971245107,0.5714285714285714,-0.006764061019334466
pc,5,200,78,48,64,10,0.71,0.6436252189922268,0.7684597439293211,94,0.14128489544653655,0.7021276595744681,43,0.13764579873763597,0.5813953488372093,-0.003395317354498606
pc,10,200,80,46,65,9,0.725,0.6593166064233035,0.7822029967069265,94,0.13394395839406498,0.723404255319149,119,0.13364353053650138,0.6554621848739496,-0.0045977760783508514
