pipeline,category,n,f1,f1_lo,f1_hi,answerability_acc,indicative
bm25,Electronics,51,0.08613438455865843,0.0569385636750547,0.11711217480842245,0.5686274509803921,False
bm25,Health_and_Personal_Care,34,0.09951794523412902,0.06264595548341753,0.14145553938363245,0.7058823529411765,False
bm25,Home_and_Kitchen,44,0.10154406583383546,0.06444951178207296,0.13854100462553431,0.6136363636363636,False
bm25,Toys_and_Games,36,0.11641673403360482,0.07022445004634069,0.1629372840469097,0.6388888888888888,False
dense,Electronics,51,0.0940933376224702,0.06346034381985266,0.12345119236151386,0.5882352941176471,False
dense,Health_and_Personal_Care,34,0.10741632298100276,0.0668503803184449,0.15282340543595185,0.6470588235294118,False
dense,Home_and_Kitchen,44,0.10161376631728943,0.06193272354973585,0.14272682217996188,0.6590909090909091,False
dense,Toys_and_Games,36,0.12064126255674266,0.07591031742999023,0.17550308266977957,0.5277777777777778,False
sentwin,Electronics,51,0.09245124576358432,0.06108959353377855,0.12562461730328736,0.5686274509803921,False
sentwin,Health_and_Personal_Care,34,0.10631208715360611,0.06808397676128755,0.14983043357340348,0.6176470588235294,False
sentwin,Home_and_Kitchen,44,0.09873899731141099,0.06399144854148775,0.1360611110423172,0.5909090909090909,False
sentwin,Toys_and_Games,36,0.11712307934801673,0.07740846446103063,0.15973826647637382,0.5555555555555556,False
hybrid,Electronics,51,0.10263288160084609,0.0670682415744955,0.13725222406600202,0.5882352941176471,False
hybrid,Health_and_Personal_Care,34,0.10165885997803552,0.06197374929863257,0.14918172232435098,0.6764705882352942,False
hybrid,Home_and_Kitchen,44,0.11079230741056385,0.06986272499180775,0.1564258849286189,0.6363636363636364,False
hybrid,Toys_and_Games,36,0.12399196794481188,0.07698255120743373,0.17246165620986853,0.5833333333333334,False
pc,Electronics,51,0.09262927373604607,0.061657472643007034,0.12229842495731587,0.5686274509803921,False
pc,Health_and_Personal_Care,34,0.10695075561333893,0.06598706193714626,0.15281150824243436,0.6470588235294118,False
pc,Home_and_Kitchen,44,0.09822066973215636,0.06079982086639707,0.13760501508288928,0.6590909090909091,False
pc,Toys_and_Games,36,0.11612779309072789,0.07383819894620908,0.16914504299123082,0.5277777777777778,False
