pipeline,k,n,yesno_em,yesno_em_lo,yesno_em_hi,yesno_em_n,yesno_em_correct,f1,f1_lo,f1_hi,rouge_l,rouge_l_lo,rouge_l_hi,semantic_similarity,semantic_similarity_lo,semantic_similarity_hi,groundedness,groundedness_lo,groundedness_hi,hallucination_rate,hallucination_rate_lo,hallucination_rate_hi
bm25,1,126,0.06896551724137931,0.0,0.1724137931034483,29,2,0.11172322073261295,0.09510963149682704,0.12941076730288836,0.10380930921922901,0.09105172561916688,0.1186099938898694,0.27551000102585743,0.2272019963460191,0.32364780239221297,0.4303437247261166,0.39251563211607354,0.4708177368917387,0.5696562752738835,0.5291822631082612,0.6074843678839265
bm25,3,126,0.1724137931034483,0.034482758620689655,0.3103448275862069,29,5,0.12809451362888505,0.11009550077897955,0.14629075042928338,0.11289104921077137,0.09919526673218787,0.1272668074888732,0.33492160253670245,0.2848199811732648,0.3852389747539299,0.524324324202771,0.4928377339144761,0.5531463029728525,0.4756756757972291,0.4468536970271475,0.507162266085524
bm25,5,126,0.1724137931034483,0.034482758620689655,0.3448275862068966,29,5,0.1327424602142121,0.1141059861499134,0.1521524807446788,0.11936245884251649,0.10404740720421733,0.1343123675845507,0.34756619430014063,0.2977596660528983,0.3984837718548194,0.5881288773665603,0.5596510048390686,0.6161207664780948,0.41187112263343967,0.3838792335219054,0.4403489951609314
bm25,10,126,0.2413793103448276,0.10344827586206896,0.41379310344827586,29,7,0.1391145683576494,0.1191289299976768,0.15895785853136674,0.12478228608011911,0.11050153592155917,0.13898504058426775,0.36458892180096536,0.31353086035861266,0.4118253014530868,0.6322788046636111,0.6021041518130235,0.6628457652194969,0.3677211953363889,0.33715423478050294,0.39789584818697643
dense,1,126,0.13793103448275862,0.034482758620689655,0.27586206896551724,29,4,0.13326408403222761,0.11340890430130045,0.15155790255998078,0.11798870988092713,0.10312727534055346,0.13273947508897613,0.3247067110967778,0.27386691395474216,0.3717651463401992,0.4018681315014977,0.3648784124803551,0.4387617489691828,0.5981318684985023,0.5612382510308173,0.6351215875196449
dense,3,126,0.20689655172413793,0.06896551724137931,0.3793103448275862,29,6,0.13362202763024741,0.11572904823246123,0.1515226010125608,0.1184836264142385,0.1055856668191163,0.1319921011139162,0.35464050750144654,0.30616413754233646,0.4047148280734536,0.5056237636905107,0.4758019367933857,0.5332051471872206,0.4943762363094894,0.4667948528127794,0.5241980632066142
dense,5,126,0.2413793103448276,0.10344827586206896,0.41379310344827586,29,7,0.13534183935850222,0.11671994883433187,0.15354933646230376,0.1175648857426029,0.10309512589686506,0.1311526655866878,0.35155476648212663,0.3023513252107752,0.39822344667858456,0.5339570222907475,0.5014860772639543,0.5702103644379597,0.46604297770925257,0.42978963556204036,0.49851392273604556
dense,10,126,0.2413793103448276,0.10344827586206896,0.41379310344827586,29,7,0.13230788532182694,0.1138085296946691,0.15107170254809643,0.11747072245060795,0.10394755932533542,0.1318860415843954,0.35664714335478725,0.3057953791666983,0.4053626100240748,0.5994637496793198,0.569210368814118,0.6314634299864988,0.4005362503206803,0.36853657001350104,0.430789631185882
sentwin,1,126,0.10344827586206896,0.0,0.2413793103448276,29,3,0.12986356352220987,0.11137488827729658,0.14777581869102988,0.11839882837604729,0.1030547428832442,0.13339605546610833,0.32294639037360273,0.27447101700467075,0.3673411329894046,0.36533827291410026,0.32976178503484754,0.4021085502481421,0.6346617270858997,0.5978914497518579,0.6702382149651526
sentwin,3,126,0.20689655172413793,0.06896551724137931,0.3448275862068966,29,6,0.1250930223129123,0.1081877542184186,0.1428963614248864,0.11401360399406049,0.09980452980121678,0.12837328924619368,0.3220146491251413,0.2720736399422296,0.3708734471434062,0.4623003262247113,0.4295653882891188,0.49649442209540556,0.5376996737752887,0.5035055779045944,0.5704346117108812
sentwin,5,126,0.06896551724137931,0.0,0.1724137931034483,29,2,0.12126087165739674,0.1037903724954664,0.14006961342169472,0.11038718659988281,0.09557607296051786,0.12558733535512348,0.3317457559104595,0.28212351767431265,0.38027584359958944,0.509372751376022,0.4784538163377882,0.5396093334779226,0.49062724862397794,0.4603906665220773,0.5215461836622118
sentwin,10,126,0.20689655172413793,0.06896551724137931,0.3793103448275862,29,6,0.13147926851376604,0.11330261778528784,0.15004713395973987,0.11275942065477618,0.09967498513036373,0.12537262299544005,0.35908753478840466,0.3075706348242608,0.4087391765832546,0.569373976963343,0.5366551515695377,0.5998632826243707,0.4306260230366569,0.40013671737562934,0.46334484843046236
hybrid,1,126,0.10344827586206896,0.0,0.20689655172413793,29,3,0.12420475579796807,0.10572857094382583,0.14339695398799698,0.11272378407540846,0.09800144362655197,0.12771545751218089,0.3082646883965012,0.2572333410082917,0.3557729824002655,0.4083662554879455,0.37201067465429905,0.4480760262015809,0.5916337445120545,0.5519239737984192,0.6279893253457008
hybrid,3,126,0.20689655172413793,0.06896551724137931,0.3793103448275862,29,6,0.132716973790419,0.11444390925749857,0.15215109333675347,0.11842229431878666,0.10388402222289644,0.1335736749824278,0.3499360919323942,0.3028624388296896,0.39949103747420606,0.5252722885324106,0.49671513861575567,0.5541124761969165,0.4747277114675894,0.4458875238030835,0.5032848613842443
hybrid,5,126,0.20689655172413793,0.06896551724137931,0.3793103448275862,29,6,0.13619190626034372,0.11680183439895009,0.15540656927089483,0.12065713951919556,0.10565491618990823,0.13562972518648955,0.35225620183591094,0.30112871752556647,0.4021006796387068,0.5511527422683455,0.5230280012834438,0.5842297086588822,0.44884725773165446,0.4157702913411178,0.47697199871655627
