pipeline,k,n,hallucination_rate,refusal_rate_on_answerable,indicative
bm25,1,200,0.2168,0.5,False
bm25,3,200,0.1458,0.3968,False
bm25,5,200,0.0814,0.3651,False
bm25,10,200,0.1039,0.3492,False
dense,1,200,0.2197,0.3889,False
dense,3,200,0.1367,0.3571,False
dense,5,200,0.1157,0.381,False
dense,10,200,0.0815,0.3651,False
sentwin,1,200,0.2545,0.3968,False
sentwin,3,200,0.1481,0.4127,False
sentwin,5,200,0.1171,0.3968,False
sentwin,10,200,0.0985,0.373,False
hybrid,1,200,0.2138,0.4286,False
hybrid,3,200,0.1361,0.373,False
hybrid,5,200,0.1225,0.3651,False
hybrid,10,200,0.0955,0.3571,False
pc,1,200,0.2197,0.3889,False
pc,3,200,0.1385,0.3571,False
pc,5,200,0.1244,0.381,False
pc,10,200,0.0788,0.3651,False
