pipeline,k,n,retrieval_ms_mean,generation_ms_mean,retrieval_p50_ms,retrieval_p95_ms,generation_p50_ms,generation_p95_ms,total_p50_ms,total_p95_ms
bm25,1,200,1.863613314963004,318.61886245493224,1.5530000018770806,3.7005443518864922,305.26635450223694,533.416922903416,306.29104200124857,534.3970142494072
bm25,3,200,1.858317325131793,315.36503603510937,1.5493959981540684,3.608054149663075,306.4378540002508,548.695480953392,308.4027915028855,549.590809803339
bm25,5,200,1.8616775048940326,342.13615939013835,1.570395499584265,3.584602048431406,306.6364375008561,604.9857622048875,308.4427709982265,606.4533330558332
bm25,10,200,1.9409495502986829,352.25607629981823,1.6167920002772007,3.6580232499545664,337.1544170004199,615.751112151338,339.0575835001073,617.0376955011307
dense,1,200,16.7612960450424,319.803383100043,12.226687496877275,34.05733924919331,295.31935449995217,562.7592704997368,317.47579099828727,580.3685850500187
dense,3,200,17.951206824873225,337.55915540492424,13.393145498412196,35.81543060536205,307.47724999673665,616.1098291497183,331.7609585064929,631.0595826969802
dense,5,200,16.09449980489444,376.0436089549694,12.39518749571289,32.10946009785401,350.51089599801344,716.4801226037525,369.681625499652,726.5059247063618
dense,10,200,17.142478329660662,367.1257322854217,13.462520499160746,34.89746489831304,323.13450000219746,631.6981187541385,340.0606045033783,643.7987357021482
sentwin,1,200,17.7488051853652,295.01132253968535,13.086687496979721,36.55777915009821,282.9633750006906,550.0032250038201,301.49468800300383,562.2392312576266
sentwin,3,200,17.04250459497416,292.5003787551759,13.009021004108943,33.57740240353449,278.66522899785195,549.4834062523296,298.0777089978801,560.7604107033693
sentwin,5,200,16.97772058963892,319.645295369628,12.41985400338308,33.85385415240306,307.02039550305926,535.5614791471448,319.9771250037884,547.5425618998988
sentwin,10,200,17.405528770032106,349.8769995658222,13.11752099718433,32.62536699403425,307.50670850102324,579.9253580102231,324.05577100144,591.8237583086011
hybrid,1,200,18.940283755364362,311.84432499012473,15.21545850118855,35.67606905999127,306.88889600060065,528.7060211489005,323.6693744947843,551.3623847451527
hybrid,3,200,19.406297680179705,310.7428941693797,15.871437506575603,35.33282980279182,305.0183544983156,537.5499559537274,320.3836874963599,553.5573559514886
hybrid,5,200,19.444838144772802,335.3643701896726,15.994187495380174,35.66225384493003,307.3493750052876,559.8690103979606,334.13360398844816,581.6481978959927
hybrid,10,200,18.73239999054931,356.7314456142776,15.701499993156176,32.94935414596693,344.2969789975905,612.3325291417132,369.95929200202227,625.3156232472975
pc,1,200,18.516182084858883,321.15548060006404,16.12577099876944,35.034655943309176,298.2475214994338,562.7592704997368,316.49395899876254,575.6158288448203
pc,3,200,16.330218959701597,334.95710456994857,12.846645506215282,31.070887790701814,307.7621664997423,614.6171360440349,333.91622899944196,627.8043815455021
pc,5,200,15.902709195142961,376.6523258149027,12.722833496809471,29.03053750342223,348.15972949945717,715.7562003001658,367.8025834960863,726.9738597540709
pc,10,200,16.188596434803912,362.6925202301936,12.148520494520199,32.15762354593607,327.7310000012221,648.1275833029928,353.74824999598786,660.7775166503404
