pipeline,k,q_bucket,n,f1,f1_lo,f1_hi,indicative
bm25,1,long,54,0.11833973780244579,0.09307628507179715,0.1462750516517693,False
bm25,1,medium,64,0.11814684133997269,0.09353932945389556,0.14281962479766458,False
bm25,1,short,18,0.11544716621999668,0.05225978951479144,0.18052579380096118,False
bm25,3,long,54,0.11473857395661165,0.09177395277549624,0.13954059647330047,False
bm25,3,medium,64,0.11779460999417381,0.09584592997732717,0.1376932135382112,False
bm25,3,short,18,0.13250226390502054,0.07572705859733171,0.18408270882035535,False
bm25,5,long,54,0.11965075110741855,0.09675231641406827,0.14407337742051493,False
bm25,5,medium,64,0.11131364384264833,0.09062041233338942,0.12997771136810407,False
bm25,5,short,18,0.11591323663226663,0.06206621164724318,0.16831152333798402,False
bm25,10,long,54,0.12943422543142347,0.10623873740099855,0.15328673496862083,False
bm25,10,medium,64,0.12375518736306274,0.10102225409347489,0.1442446124125309,False
bm25,10,short,18,0.13559892519171182,0.07430979728214383,0.19353779414243805,False
dense,1,long,54,0.11966868461179904,0.09529218070925446,0.14418845017500018,False
dense,1,medium,64,0.12191655943473248,0.09721964863413265,0.15105800226859276,False
dense,1,short,18,0.07026640796440227,0.03963265443972398,0.1027744454214229,False
dense,3,long,54,0.13203242487758654,0.10644455629535647,0.15986896886352078,False
dense,3,medium,64,0.12108677185927574,0.0966617076913572,0.14630844756042466,False
dense,3,short,18,0.10876995886497684,0.07120640385004538,0.14309282539513457,False
dense,5,long,54,0.12126567329477249,0.09710730815794524,0.14631141354869087,False
dense,5,medium,64,0.12683843944111065,0.10183770323915722,0.1477036850263212,False
dense,5,short,18,0.13326495063310728,0.07438941926801117,0.1909684534989499,False
dense,10,long,54,0.1234510533341512,0.097273549263858,0.15005783494132144,False
dense,10,medium,64,0.12595377228709728,0.10179816810761014,0.14781418989387543,False
dense,10,short,18,0.12965504455535787,0.07330117070091871,0.18400810779626542,False
sentwin,1,long,54,0.11400867624665591,0.08764003043722358,0.14083575977482718,False
sentwin,1,medium,64,0.11008128533369747,0.0873933070388311,0.1319996189104982,False
sentwin,1,short,18,0.10507748635200878,0.05750756982720437,0.15955901701885505,False
sentwin,3,long,54,0.1286915342646186,0.10531197238097782,0.1550082019699944,False
sentwin,3,medium,64,0.12536643414104204,0.10308682367075317,0.14597644483774058,False
sentwin,3,short,18,0.10958629597786573,0.06416348217722341,0.15365696483419794,False
sentwin,5,long,54,0.11248619742152713,0.08939676617593889,0.13746954996130456,False
sentwin,5,medium,64,0.1300766324711467,0.1073854107949347,0.15071686349685487,False
sentwin,5,short,18,0.13025822850883595,0.07932834897030008,0.1794644351090725,False
sentwin,10,long,54,0.1221379417031372,0.09814926605118747,0.14511084983271816,False
sentwin,10,medium,64,0.12786553609114026,0.10253815579223483,0.15051458713700983,False
sentwin,10,short,18,0.1417358031160852,0.07950355222715774,0.20293748033811096,False
hybrid,1,long,54,0.12137483725288341,0.09613702550338218,0.14853944326095328,False
hybrid,1,medium,64,0.11760754943255788,0.09340685760626057,0.14039474310433464,False
hybrid,1,short,18,0.1101117897584176,0.05636776110133296,0.17419041498373963,False
hybrid,3,long,54,0.12976419077503612,0.10472271746933921,0.15762738486074754,False
hybrid,3,medium,64,0.12129242390662359,0.09591044790978653,0.1440875209112342,False
hybrid,3,short,18,0.1121805638436561,0.061646693758790595,0.15934897633617598,False
hybrid,5,long,54,0.13385672121251632,0.1096235281469368,0.15828083897296108,False
hybrid,5,medium,64,0.1234559415727037,0.0977076544377143,0.14564692004911153,False
hybrid,5,short,18,0.11349141917852595,0.05378569366164946,0.17409973496054815,False
hybrid,10,long,54,0.1340393063055092,0.1081830024577966,0.16253700549530564,False
hybrid,10,medium,64,0.126275726117757,0.10081684615605577,0.14972307067701188,False
hybrid,10,short,18,0.13643120494470054,0.07706541040667428,0.19431494857383774,False
pc,1,long,54,0.12115524836251373,0.09742038734449367,0.1455970890670065,False
pc,1,medium,64,0.12191655943473248,0.09721964863413265,0.15105800226859276,False
pc,1,short,18,0.07026640796440227,0.03963265443972398,0.1027744454214229,False
pc,3,long,54,0.1287160701050165,0.10351020965324356,0.15391133096703344,False
pc,3,medium,64,0.12122349611233377,0.096663999853917,0.14657709798695792,False
pc,3,short,18,0.10876995886497684,0.07120640385004538,0.14309282539513457,False
pc,5,long,54,0.11664650675885027,0.09433010297529393,0.13883109057803134,False
pc,5,medium,64,0.12500092336199323,0.10005574740825023,0.1456833684813865,False
pc,5,short,18,0.13326495063310728,0.07438941926801117,0.1909684534989499,False
pc,10,long,54,0.11960409239523352,0.09528642539141505,0.14638221537718193,False
pc,10,medium,64,0.13030436148933405,0.10462153250802632,0.15257280530290196,False
pc,10,short,18,0.12965504455535787,0.07330117070091871,0.18400810779626542,False
