pipeline,k,n,faithfulness,context_precision,context_recall
bm25,1,200,0.3945357142857142,0.6149999999385,0.3013047138047138
bm25,3,200,0.6206785714285714,0.6745833332961874,0.4690665154950869
bm25,5,200,0.6761845238095238,0.6628402777500749,0.5337516087516088
bm25,10,200,0.6887261904761905,0.6405062887772135,0.6037311872909699
dense,1,200,0.4454047619047619,0.609999999939,0.28133503401360543
dense,3,200,0.6410099206349207,0.7039363483676506,0.4667709867452135
dense,5,200,0.6648075396825398,0.6882361110805921,0.5553024453024452
dense,10,200,0.6618738935749244,0.660152113013621,0.6011220580186097
hybrid,1,200,0.4500079365079365,0.5999999999400001,0.3010575296108291
hybrid,3,200,0.6463492063492063,0.6675041875682162,0.4727198286722096
hybrid,5,200,0.685952380952381,0.671680555527602,0.515563358210417
hybrid,10,200,0.6695199830878222,0.6532795414274151,0.6059786898184688
pc,1,200,0.4454047619047619,0.609999999939,0.28133503401360543
pc,3,200,0.645295634920635,0.6984924622706029,0.46098568961263264
pc,5,200,0.6514146825396826,0.6836666666366003,0.5535006435006435
pc,10,200,0.6805840064860684,0.6533487828170723,0.6059454995871181
sentwin,1,200,0.39661309523809524,0.6199999999379999,0.254375
sentwin,3,200,0.6281405323071989,0.6929166666291041,0.3944630456349206
sentwin,5,200,0.675441628264209,0.6834576023110785,0.4832993197278912
sentwin,10,200,0.6625,0.6761375761165559,0.5672215329473393
