Pipeline,pipeline_key,K Value,Total Questions,Correct Answers,Recall@K,MRR,nDCG@K,Context Precision,Context Recall,Yes/No EM (%),F1 Score,ROUGE-L,Semantic Similarity,Faithfulness Score,Avg Latency / Question (s),Retrieval Latency (s),Generation Latency (s),Retrieval p95 (s),Answerability Accuracy,Long Context Accuracy,Noise Robustness,refusal_rate_on_answerable_x,refusal_rate_on_answerable_y,refusal_rate_on_answerable,Hallucination Rate
BM25 Retrieval,bm25,1,200,63,0.1746,0.1746,0.1746,0.6149999999385,0.3013047138047138,6.9,0.1117,0.1038,0.2755,0.3945357142857142,0.32,0.002,0.319,0.004,0.63,0.5638,0.1099,0.5,0.5,0.5,0.2168
BM25 Retrieval,bm25,3,200,64,0.4921,0.3108,0.3572,0.6745833332961874,0.4690665154950869,17.24,0.1281,0.1129,0.3349,0.6206785714285714,0.317,0.002,0.315,0.004,0.7,0.6809,0.1156,0.3968,0.3968,0.3968,0.1458
BM25 Retrieval,bm25,5,200,67,0.5873,0.3315,0.3955,0.6628402777500749,0.5337516087516088,17.24,0.1327,0.1194,0.3476,0.6761845238095238,0.344,0.002,0.342,0.004,0.735,0.7234,0.1135,0.3651,0.3651,0.3651,0.0814
BM25 Retrieval,bm25,10,200,64,0.8968,0.3714,0.4941,0.6405062887772135,0.6037311872909699,24.14,0.1391,0.1248,0.3646,0.6887261904761905,0.354,0.002,0.352,0.004,0.73,0.7234,0.1426,0.3492,0.3492,0.3492,0.1039
Dense Retrieval,dense,1,200,59,0.2698,0.2698,0.2698,0.609999999939,0.2813350340136054,13.79,0.1333,0.118,0.3247,0.4454047619047619,0.337,0.017,0.32,0.034,0.68,0.617,0.1254,0.3889,0.3889,0.3889,0.2197
Dense Retrieval,dense,3,200,62,0.5079,0.3743,0.4086,0.7039363483676506,0.4667709867452135,20.69,0.1336,0.1185,0.3546,0.6410099206349207,0.356,0.018,0.338,0.036,0.715,0.7128,0.1374,0.3571,0.3571,0.3571,0.1367
Dense Retrieval,dense,5,200,64,0.6667,0.4097,0.4732,0.6882361110805921,0.5553024453024452,24.14,0.1353,0.1176,0.3516,0.6648075396825398,0.392,0.016,0.376,0.032,0.71,0.7021,0.1409,0.381,0.381,0.381,0.1157
Dense Retrieval,dense,10,200,65,0.8651,0.4367,0.5379,0.660152113013621,0.6011220580186097,24.14,0.1323,0.1175,0.3566,0.6618738935749244,0.384,0.017,0.367,0.035,0.725,0.7234,0.1354,0.3651,0.3651,0.3651,0.0815
Hybrid Retrieval,hybrid,1,200,60,0.2143,0.2143,0.2143,0.5999999999400001,0.3010575296108291,10.34,0.1242,0.1127,0.3083,0.4500079365079365,0.331,0.019,0.312,0.036,0.66,0.6277,0.1196,0.4286,0.4286,0.4286,0.2138
Hybrid Retrieval,hybrid,3,200,63,0.5159,0.3466,0.39,0.6675041875682162,0.4727198286722096,20.69,0.1327,0.1184,0.3499,0.6463492063492063,0.33,0.019,0.311,0.035,0.71,0.7021,0.1253,0.373,0.373,0.373,0.1361
Hybrid Retrieval,hybrid,5,200,64,0.6984,0.3874,0.4645,0.671680555527602,0.515563358210417,20.69,0.1362,0.1207,0.3523,0.685952380952381,0.355,0.019,0.335,0.036,0.72,0.7128,0.143,0.3651,0.3651,0.3651,0.1225
Hybrid Retrieval,hybrid,10,200,64,0.8413,0.4076,0.5117,0.6532795414274151,0.6059786898184688,20.69,0.1379,0.1245,0.3581,0.6695199830878222,0.375,0.019,0.357,0.033,0.725,0.734,0.1404,0.3571,0.3571,0.3571,0.0955
Parent-Child Retrieval,pc,1,200,59,0.2698,0.2698,0.2698,0.609999999939,0.2813350340136054,13.79,0.1333,0.118,0.3247,0.4454047619047619,0.34,0.019,0.321,0.035,0.68,0.617,0.1254,0.3889,0.3889,0.3889,0.2197
Parent-Child Retrieval,pc,3,200,62,0.5,0.3717,0.4047,0.6984924622706029,0.4609856896126326,20.69,0.1344,0.1191,0.3561,0.645295634920635,0.351,0.016,0.335,0.031,0.715,0.7128,0.1377,0.3571,0.3571,0.3571,0.1385
Parent-Child Retrieval,pc,5,200,64,0.6587,0.4078,0.4699,0.6836666666366003,0.5535006435006435,24.14,0.1354,0.1176,0.3521,0.6514146825396826,0.393,0.016,0.377,0.029,0.71,0.7021,0.1376,0.381,0.381,0.381,0.1244
