pipeline,k,n,recall_at_k,recall_at_k_lo,recall_at_k_hi,mrr,mrr_lo,mrr_hi,ndcg_at_k,ndcg_at_k_lo,ndcg_at_k_hi
bm25,1,126,0.1746031746031746,0.1111111111111111,0.2382936507936506,0.1746031746031746,0.1111111111111111,0.2382936507936506,0.1746031746031746,0.1111111111111111,0.2382936507936506
bm25,3,126,0.49206349206349204,0.40476190476190477,0.5714285714285714,0.3108465608465608,0.2473214285714286,0.3730489417989418,0.3572332089852661,0.2897728915249486,0.42110891827877694
bm25,5,126,0.5873015873015873,0.5,0.6589285714285712,0.3314814814814815,0.27048611111111115,0.39140542328042327,0.3954675636691542,0.3295056899235881,0.4528541306085249
bm25,10,126,0.8968253968253969,0.8412698412698413,0.9444444444444444,0.3713655832703452,0.3160696963970774,0.425756960191484,0.49413872588211194,0.4473746857062171,0.5408556842634037
dense,1,126,0.2698412698412698,0.1984126984126984,0.35714285714285715,0.2698412698412698,0.1984126984126984,0.35714285714285715,0.2698412698412698,0.1984126984126984,0.35714285714285715
dense,3,126,0.5079365079365079,0.42063492063492064,0.5952380952380952,0.3743386243386243,0.3029100529100529,0.45376984126984116,0.40863226442744205,0.33427456405896155,0.4897250796846685
dense,5,126,0.6666666666666666,0.5793650793650794,0.753968253968254,0.40965608465608466,0.34057208994709,0.48402116402116396,0.47316773984204913,0.40447554376381656,0.545074080311795
dense,10,126,0.8650793650793651,0.8015873015873016,0.9206349206349206,0.43670949861426056,0.37294910556815325,0.506403376165281,0.537893672790451,0.4807553437891945,0.5989244246373391
sentwin,1,126,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.35714285714285715,0.2857142857142857,0.21428571428571427,0.35714285714285715
sentwin,3,126,0.5238095238095238,0.4365079365079365,0.6031746031746031,0.37301587301587297,0.30423280423280424,0.4431547619047619,0.41174963951247673,0.34115067499504415,0.48321360137401304
sentwin,5,126,0.6031746031746031,0.5238095238095238,0.682738095238095,0.4052910052910053,0.3375595238095238,0.47515542328042326,0.4546619956128699,0.38548549242423386,0.5229898130089223
sentwin,10,126,0.8253968253968254,0.7619047619047619,0.8888888888888888,0.42770534139581756,0.36296871063240116,0.4940069916855631,0.5213313334700328,0.46033149601385537,0.5804727649496839
hybrid,1,126,0.21428571428571427,0.15079365079365079,0.2857142857142857,0.21428571428571427,0.15079365079365079,0.2857142857142857,0.21428571428571427,0.15079365079365079,0.2857142857142857
hybrid,3,126,0.5158730158730159,0.42857142857142855,0.6031746031746031,0.34656084656084657,0.27774470899470904,0.41269841269841273,0.39001836575964277,0.3183802762138652,0.46080557642220105
hybrid,5,126,0.6984126984126984,0.6190476190476191,0.7777777777777778,0.38743386243386246,0.3244477513227514,0.44948743386243384,0.464460237391562,0.40281553509556756,0.5288650258605537
hybrid,10,126,0.8412698412698413,0.7777777777777778,0.9047619047619048,0.4075554295792391,0.3473430020156211,0.46709199420508946,0.5117091891170414,0.4527101584049083,0.5665076287505855
pc,1,126,0.2698412698412698,0.1984126984126984,0.35714285714285715,0.2698412698412698,0.1984126984126984,0.35714285714285715,0.2698412698412698,0.1984126984126984,0.35714285714285715
pc,3,126,0.5,0.4126984126984127,0.5952380952380952,0.37169312169312163,0.30023148148148154,0.45241402116402113,0.4046640104591881,0.3303063100907076,0.4868006568983876
pc,5,126,0.6587301587301587,0.5793650793650794,0.7380952380952381,0.4078042328042328,0.3384623015873016,0.4807142857142857,0.46989510096647535,0.4021340406193433,0.5388962743415665
pc,10,126,0.8492063492063492,0.7857142857142857,0.9047619047619048,0.43439468379944574,0.37084317523305627,0.5040991906021668,0.5326502202958645,0.4733853121829017,0.5959749465661084
